,problem,data,algo,error_trn,error_tst,r2_trn,r2_tst,param,time
0,reg,dee,Adam,0.29632630944252014,0.34372806549072266,-5.422051671646737,-4.690085540506875,801,0.3899555206298828
1,reg,dee,NAG,0.030642397701740265,0.040350694209337234,0.3359109482329189,0.3320332996304626,801,0.3530564308166504
2,reg,dee,SGD,0.04438689351081848,0.05033102631568909,0.07325007520599902,0.06403938213821081,801,0.3480393886566162
3,reg,dee,NAG,0.03169098496437073,0.03625244274735451,0.3383267776636656,0.3258461309996947,801,0.36398983001708984
4,reg,dee,MGD,0.03060527704656124,0.038333602249622345,0.336715515422625,0.3654242772032251,801,0.35704517364501953
5,reg,dee,Adagrad,0.04502151906490326,0.04219312220811844,0.09608609143976021,0.07735456105956173,801,0.4687063694000244
6,reg,dee,SGD,0.04598696902394295,0.043178968131542206,0.07670241973588565,0.055796963284264756,801,0.40391969680786133
7,reg,dee,RMSprop,0.29632630944252014,0.34372806549072266,-5.4220515932318945,-4.690085483154879,801,0.6811776161193848
8,reg,dee,MGD,0.03145906701683998,0.03509761393070221,0.34316893913603075,0.3473214350059689,801,0.36602139472961426
9,reg,dee,RMSprop,0.2999279201030731,0.32932162284851074,-5.021765039866652,-6.201341162390866,801,0.49268198013305664
10,reg,dee,MGD,0.03436679020524025,0.03167012333869934,0.3100050406929278,0.307463099857212,801,0.42583680152893066
11,reg,dee,Adagrad,0.042702026665210724,0.04823880270123482,0.10842830696320294,0.10294664006379217,801,0.3620333671569824
12,reg,dee,NAG,0.03268199786543846,0.0297548845410347,0.34383129514961086,0.3493440843365956,801,0.5106368064880371
13,reg,dee,Adagrad,0.04250096157193184,0.05401654914021492,0.07890951490319342,0.10580831647290934,801,0.39989733695983887
14,reg,dee,Adam,0.2996867299079895,0.2642562985420227,-5.0169224604619895,-4.778545033898387,801,0.4258759021759033
15,reg,dee,RMSprop,0.2960108518600464,0.27895960211753845,-5.180384364026096,-4.187560056965965,801,0.46672868728637695
16,reg,dee,SGD,0.04410441219806671,0.05885099247097969,0.04415907652111528,0.025778681519932234,801,0.34708404541015625
17,reg,dee,Adam,0.2960108518600464,0.27895960211753845,-5.180384364026096,-4.187560056965965,801,0.3919641971588135
18,class,iris,MGD,0.6499999761581421,0.7333333492279053,99999.0,99999.0,803,0.5305807590484619
19,class,iris,RMSprop,0.7416666746139526,0.5666666626930237,99999.0,99999.0,803,0.4727349281311035
20,class,iris,SGD,0.5583333373069763,0.6000000238418579,99999.0,99999.0,803,0.3112044334411621
21,class,iris,NAG,0.36666667461395264,0.20000000298023224,99999.0,99999.0,803,0.32912254333496094
22,class,iris,Adagrad,0.3333333432674408,0.3333333432674408,99999.0,99999.0,803,0.41790032386779785
23,class,iris,Adagrad,0.3333333432674408,0.3333333432674408,99999.0,99999.0,803,0.37499523162841797
24,class,iris,RMSprop,0.7416666746139526,0.7333333492279053,99999.0,99999.0,803,0.46077632904052734
25,class,iris,Adam,0.7583333253860474,0.5666666626930237,99999.0,99999.0,803,0.3440735340118408
26,class,iris,MGD,0.7250000238418579,0.6333333253860474,99999.0,99999.0,803,0.3320786952972412
27,class,iris,Adam,0.8916666507720947,0.800000011920929,99999.0,99999.0,803,0.3899872303009033
28,class,iris,RMSprop,0.7416666746139526,0.8333333134651184,99999.0,99999.0,803,0.44281768798828125
29,class,iris,NAG,0.6666666865348816,0.6666666865348816,99999.0,99999.0,803,0.4388244152069092
30,class,iris,NAG,0.6083333492279053,0.5333333611488342,99999.0,99999.0,803,0.34407997131347656
31,class,iris,MGD,0.6666666865348816,0.6666666865348816,99999.0,99999.0,803,0.317152738571167
32,class,iris,Adagrad,0.32499998807907104,0.5333333611488342,99999.0,99999.0,803,0.32613182067871094
33,class,iris,SGD,0.3333333432674408,0.3333333432674408,99999.0,99999.0,803,0.5076406002044678
34,class,iris,Adam,0.8999999761581421,0.8999999761581421,99999.0,99999.0,803,0.42586207389831543
35,class,iris,SGD,0.625,0.800000011920929,99999.0,99999.0,803,0.3301548957824707
