File,Data,Algo,Size,Fun,Leaf,Param,ETst,TstTime,FunEvalTime
iris_0_2020_11_23_03_12_42_best_test_optPRM_adagrad_model.json,iris,_adagrad_,122,41,80,162,0.966666667,0.018,6.00E-04
iris_0_2020_11_23_03_12_42_best_test_optPRM_adam_model.json,iris,_adam_,122,41,80,162,0.966666667,0.001,3.33E-05
iris_0_2020_11_23_03_12_42_best_test_optPRM_gd_model.json,iris,_gd_,122,41,80,162,0.866666667,0.001,3.33E-05
iris_0_2020_11_23_03_12_42_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,122,41,80,162,0.966666667,0,0
iris_0_2020_11_23_03_12_42_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,122,41,80,162,0.966666667,0.001,3.33E-05
iris_0_2020_11_23_03_12_42_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,122,41,80,162,0.966666667,0,0
iris_10_2020_11_24_03_59_45_best_test_optPRM_adagrad_model.json,iris,_adagrad_,294,93,200,386,1,0,0
iris_10_2020_11_24_03_59_45_best_test_optPRM_adam_model.json,iris,_adam_,294,93,200,386,1,0.001,3.33E-05
iris_10_2020_11_24_03_59_45_best_test_optPRM_gd_model.json,iris,_gd_,294,93,200,386,0.966666667,0,0
iris_10_2020_11_24_03_59_45_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,294,93,200,386,1,0.001,3.33E-05
iris_10_2020_11_24_03_59_45_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,294,93,200,386,1,0.001,3.33E-05
iris_10_2020_11_24_03_59_45_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,294,93,200,386,1,0,0
iris_11_2020_11_24_03_54_20_best_test_optPRM_adagrad_model.json,iris,_adagrad_,237,74,162,310,1,0,0
iris_11_2020_11_24_03_54_20_best_test_optPRM_adam_model.json,iris,_adam_,237,74,162,310,1,0.001,3.33E-05
iris_11_2020_11_24_03_54_20_best_test_optPRM_gd_model.json,iris,_gd_,237,74,162,310,0.966666667,0,0
iris_11_2020_11_24_03_54_20_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,237,74,162,310,1,0,0
iris_11_2020_11_24_03_54_20_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,237,74,162,310,1,0.001,3.33E-05
iris_11_2020_11_24_03_54_20_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,237,74,162,310,1,0,0
iris_12_2020_11_24_03_17_59_best_test_optPRM_adagrad_model.json,iris,_adagrad_,152,53,98,204,0.933333333,0.001,3.33E-05
iris_12_2020_11_24_03_17_59_best_test_optPRM_adam_model.json,iris,_adam_,152,53,98,204,1,0,0
iris_12_2020_11_24_03_17_59_best_test_optPRM_gd_model.json,iris,_gd_,152,53,98,204,0.966666667,0,0
iris_12_2020_11_24_03_17_59_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,152,53,98,204,1,0,0
iris_12_2020_11_24_03_17_59_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,152,53,98,204,1,0,0
iris_12_2020_11_24_03_17_59_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,152,53,98,204,1,0.001,3.33E-05
iris_13_2020_11_23_15_46_41_best_test_optPRM_adagrad_model.json,iris,_adagrad_,119,38,80,156,1,0,0
