,exp,data,algo,error_trn,error_tst,corr_trn,corr_tst,r2_trn,r2_tst,tree_size,func_node,leaf_node,train_param,compute_time,problem
0,FNT_australian_20210729_223605,australian,HFNT_SO,0.125,0.1223,,,,,47,,,,,class
1,FNT_australian_20210729_223627,australian,HFNT_SO,0.375,0.35252,,,,,5,,,,,class
2,FNT_australian_20210729_223651,australian,HFNT_SO,0.25543,0.28058,,,,,6,,,,,class
3,FNT_australian_20210729_223714,australian,HFNT_SO,0.24275,0.28777,,,,,6,,,,,class
4,FNT_australian_20210729_223751,australian,HFNT_SO,0.14312,0.13669,,,,,6,,,,,class
5,FNT_australian_20210729_223914,australian,HFNT_SO,0.23188,0.21583,,,,,36,,,,,class
6,FNT_australian_20210729_224054,australian,HFNT_SO,0.10145,0.13669,,,,,35,,,,,class
7,FNT_australian_20210729_224136,australian,HFNT_SO,0.11957,0.13669,,,,,11,,,,,class
8,FNT_australian_20210729_224219,australian,HFNT_SO,0.1087,0.19424,,,,,16,,,,,class
9,FNT_australian_20210729_224626,australian,HFNT_SO,0.125,0.17986,,,,,101,,,,,class
10,FNT_australian_20210729_224810,australian,HFNT_SO,0.11775,0.1295,,,,,38,,,,,class
11,FNT_australian_20210729_225001,australian,HFNT_SO,0.12138,0.17986,,,,,36,,,,,class
12,FNT_australian_20210729_225217,australian,HFNT_SO,0.125,0.10791,,,,,49,,,,,class
13,FNT_australian_20210729_225243,australian,HFNT_SO,0.23551,0.20863,,,,,6,,,,,class
14,FNT_australian_20210729_225441,australian,HFNT_SO,0.11775,0.10072,,,,,45,,,,,class
15,FNT_australian_20210729_225532,australian,HFNT_SO,0.11051,0.14388,,,,,15,,,,,class
16,FNT_australian_20210729_225719,australian,HFNT_SO,0.11413,0.14388,,,,,43,,,,,class
17,FNT_australian_20210729_225755,australian,HFNT_SO,0.12138,0.15108,,,,,12,,,,,class
18,FNT_australian_20210729_230100,australian,HFNT_SO,0.17754,0.21583,,,,,75,,,,,class
19,FNT_australian_20210729_230155,australian,HFNT_SO,0.11413,0.15827,,,,,16,,,,,class
20,FNT_australian_20210729_230248,australian,HFNT_SO,0.11957,0.13669,,,,,8,,,,,class
21,FNT_australian_20210729_230344,australian,HFNT_SO,0.12319,0.14388,,,,,17,,,,,class
22,FNT_australian_20210729_230408,australian,HFNT_SO,0.13406,0.16547,,,,,5,,,,,class
23,FNT_australian_20210729_230433,australian,HFNT_SO,0.11957,0.14388,,,,,4,,,,,class
24,FNT_australian_20210729_230457,australian,HFNT_SO,0.13406,0.13669,,,,,6,,,,,class
