index,Problem,Data,Algo,AccTst,Param
0,class,australian,Adagrad,0.8695651888847351,1702
1,reg,baseball,Adagrad,0.7333511699847842,1801
2,class,wisconsin,Adagrad,0.9824561476707458,3302
3,reg,dee,Adagrad,0.7765112925486086,801
4,class,vehicle,Adagrad,0.8058823347091675,2304
5,class,ionosphere,Adagrad,0.9718309640884399,3602
6,class,pima,Adagrad,0.7597402334213257,1102
7,class,heart,Adagrad,0.8148148059844971,1602
8,class,wine,Adagrad,0.9722222089767456,1703
9,class,glass,Adagrad,0.7441860437393188,1606
10,class,iris,Adagrad,0.9333333373069763,803
11,reg,diabetese,Adagrad,0.5069672263376046,1201
12,reg,mpg6,Adagrad,0.879623403717766,701
13,reg,friedman,Adagrad,0.7776185241695507,701
14,class,iris,Adam,0.9666666388511658,803
15,reg,friedman,Adam,-6.8983301859419,701
16,class,heart,Adam,0.6851851940155029,1602
17,reg,dee,Adam,-4.453404401214217,801
18,class,pima,Adam,0.6883116960525513,1102
19,class,ionosphere,Adam,0.7323943376541138,3602
20,class,wisconsin,Adam,0.9649122953414917,3302
21,class,australian,Adam,0.8478260636329651,1702
22,reg,diabetese,Adam,-2.8132472441731182,1201
23,class,vehicle,Adam,0.6176470518112183,2304
24,class,wine,Adam,1.0,1703
25,reg,mpg6,Adam,-3.7738908637285764,701
26,reg,baseball,Adam,-0.8940919908759943,1801
27,class,glass,Adam,0.5813953280448914,1606
28,reg,dee,MGD,0.8389462706276034,801
29,reg,baseball,MGD,0.823679184216189,1801
30,reg,mpg6,MGD,0.8676471442522162,701
31,class,vehicle,MGD,0.38823530077934265,2304
32,class,wisconsin,MGD,0.9736841917037964,3302
33,reg,diabetese,MGD,0.20910876579509996,1201
34,class,wine,MGD,1.0,1703
35,class,heart,MGD,0.8148148059844971,1602
36,class,australian,MGD,0.7681159377098083,1702
37,class,pima,MGD,0.7272727489471436,1102
38,reg,friedman,MGD,0.9445397985838133,701
39,class,iris,MGD,1.0,803
40,class,ionosphere,MGD,0.3661971688270569,3602
41,class,glass,MGD,0.6744186282157898,1606
42,class,heart,NAG,0.8518518805503845,1602
43,class,wisconsin,NAG,0.9210526347160339,3302
44,class,ionosphere,NAG,0.6197183132171631,3602
45,reg,mpg6,NAG,0.8612036149461116,701
46,class,iris,NAG,0.9666666388511658,803
