index,G_rmsprop_,G_adagrad_,G_nesterov_accelerated_gd_,G_momentum_gd_,G_gd_,G_adam_,M_RMSprop,M_Adagrad,M_NAG,M_MGD,M_SGD,M_Adam
australian_mu,0.8652173913043477,0.8642512077294685,0.8613526570048312,0.8620772946859904,0.85,0.8328502415458936,0.8154589215914408,0.8669082085291545,0.827777765194575,0.8125603715578715,0.8270531296730042,0.8229468444983165
australian_std,0.03299372882400158,0.03595261353178601,0.03614348703556879,0.03326064545719865,0.040865613101558264,0.06317053758584969,0.028144549056162455,0.026470304903075628,0.030725119997050594,0.03381403721263523,0.03261471720168489,0.027817762567189423
heart_mu,0.808641975308642,0.8209876543209874,0.8172839506172839,0.8228395061728392,0.802469135802469,0.7907407407407409,0.7611111104488373,0.8172839482625326,0.7882716039816539,0.7685185194015502,0.7814814805984497,0.7796296298503875
heart_std,0.044660324291830936,0.03900679484789408,0.04287714745340911,0.040596322848494557,0.06602739714376574,0.064910529582413,0.052906173843789046,0.04905167637361438,0.0478187393080067,0.050010643470116224,0.0422287214977954,0.04571150528858541
ionosphere_mu,0.8976525821596245,0.8901408450704227,0.8774647887323944,0.8755868544600941,0.8431924882629109,0.8239436619718311,0.9319248855113983,0.9032863895098369,0.5338028152783711,0.5239436566829682,0.9178403735160827,0.5131455341974894
ionosphere_std,0.05029968311140799,0.04581105885520818,0.0569598995389182,0.0606737796013928,0.0626320666068317,0.0543291677601957,0.03247416251905026,0.04931080434898022,0.1614949575844393,0.14379618251334259,0.028670467813104117,0.15959178906397747
pima_mu,0.7560606060606061,0.7497835497835498,0.7534632034632036,0.7487012987012988,0.7487012987012989,0.7374458874458872,0.7116883198420206,0.7731601615746816,0.7311688323815664,0.7054112553596497,0.7597402572631836,0.7103896121184031
pima_std,0.02887330515150172,0.04183091006519949,0.03694922790424306,0.029395655248524864,0.035857507070378436,0.043129834912224024,0.03667736293633357,0.025174279559772424,0.03928066173829545,0.05339682049212797,0.038661323872261066,0.06384212453497672
wdbc_mu,0.9555555555555554,0.9614035087719296,0.952046783625731,0.9514619883040935,0.9423976608187136,0.9391812865497077,0.9540935695171356,0.9713450253009797,0.9654970765113831,0.9599415183067321,0.9654970725377401,0.9543859680493673
wdbc_std,0.024371982975574018,0.01989667752958879,0.024782229723739647,0.02456716436343279,0.02613197888376452,0.0227969326362059,0.03130580434489291,0.016600993910947614,0.019126062621027715,0.02477687723098937,0.018562858390856245,0.033175349111011394
