data,Sample1,param,G_rmsprop_,G_adagrad_,G_nesterov_accelerated_gd_,G_momentum_gd_,G_gd_,G_adam_,M_Adagrad,M_Adam,M_MGD,M_NAG,M_RMSprop,M_SGD
australian,_rmsprop_,t-stat,,0.10844873187830559,0.4325468462415976,0.367113669090761,1.5869297130036328,2.487548610413879,-0.2189375117216901,5.364884454737418,6.1048108892241695,4.5484573307544425,6.284455779100331,4.505733403695311
australian,_rmsprop_,p-val,,0.45700840093011974,0.333480670121967,0.357435200875708,0.05910338726361206,0.008375102546380624,0.4137516880096946,7.867930286510287e-07,4.583458850901186e-08,1.4124579856789225e-05,2.5126445345039644e-08,1.628787318227159e-05
australian,_rmsprop_,dof,,58.0,58.0,58.0,56.0,44.0,55.0,56.0,58.0,58.0,57.0,58.0
heart,_momentum_gd_,t-stat,1.2884493473136323,0.18016284140108052,0.5153385008824589,,1.4394818961653497,2.296396405071765,0.477902780763749,3.87121290957063,4.619021374035889,3.0184098628038227,5.069976726193333,3.8671357023088513
heart,_momentum_gd_,p-val,0.10137590739224335,0.42882686648962276,0.3041405190164898,,0.07823971197116682,0.012999030169897946,0.31728916355181874,0.00014022162098979246,1.1622579235225361e-05,0.0019037825535251822,2.4680055867686774e-06,0.00014067668618424555
heart,_momentum_gd_,dof,57.0,58.0,58.0,,48.0,49.0,56.0,57.0,56.0,57.0,54.0,58.0
ionosphere,_rmsprop_,t-stat,,0.6047431568147779,1.4550996207198963,1.5335054853033634,3.7133319165220704,5.45283538643045,-0.4380777058342399,12.586038034994914,13.436335881621067,11.781989804605509,-3.1353194183836766,-1.9098266172139922
ionosphere,_rmsprop_,p-val,,0.2738643875953427,0.07555753598000556,0.06538730475715598,0.0002382969826941879,5.404546862605881e-07,0.3314789280231203,8.572273494984996e-15,6.801256218800612e-16,5.863408856767222e-14,0.00144183716308249,0.031198312905011166
ionosphere,_rmsprop_,dof,,58.0,57.0,56.0,55.0,58.0,58.0,35.0,36.0,35.0,50.0,46.0
pima,_rmsprop_,t-stat,,0.6764146778668908,0.303386223076553,0.9782679993837989,0.8755645658323699,1.964401989262026,-2.4449467267119247,3.5701226711440532,4.570064740083678,2.796629536339506,5.206598779793515,-0.41767807927323464
pima,_rmsprop_,p-val,,0.25090145414971066,0.3813722210574702,0.16600300094835324,0.1925210574182949,0.027491146045818933,0.00880224709293186,0.0004694259995733996,1.9215217010498948e-05,0.003584533249681518,1.4786130481885189e-06,0.3389243427537961
pima,_rmsprop_,dof,,52.0,55.0,58.0,55.0,51.0,57.0,40.0,45.0,53.0,55.0,54.0
wdbc,_adagrad_,t-stat,1.0180641484877484,,1.61256015785369,1.722418550677198,3.169464149117185,4.022540816614429,-2.101356358517945,0.9935961115715678,0.2519959899942897,-0.8124098467748887,1.0793841637217778,-0.8239713711186554
wdbc,_adagrad_,p-val,0.1565220325326862,,0.0562608389212551,0.04527633041627398,0.0012560615744628258,8.574508963885346e-05,0.02005310095125149,0.16272862264540877,0.40098820697988147,0.20994187053398922,0.14284296687687315,0.20667375087774553
wdbc,_adagrad_,dof,56.0,,55.0,56.0,54.0,57.0,56.0,47.0,55.0,58.0,49.0,58.0
iris,_rmsprop_,t-stat,,1.6852571950040638,1.2296306998351483,0.9857625214478053,2.0444727852492317,1.0731764554477485,-2.21710107851033,-1.4605220188592625,-1.6533004408677732,-0.9837034444432442,-0.2344692327978002,-2.9088930169263034
iris,_rmsprop_,p-val,,0.04888079663339957,0.11190252517896397,0.1641735865902521,0.023186018152025225,0.14397034374870718,0.015291003531860648,0.07481645177392318,0.05184006689838449,0.16467558103626095,0.4077291073930034,0.0025676131200965285
iris,_rmsprop_,dof,,54.0,58.0,58.0,48.0,54.0,58.0,57.0,58.0,58.0,57.0,58.0
