data,algo,tttest_stat,tttest_p_val,tttest_p_val_Bon,tttest_p_val_Benjamin,tttest_p_val_Holm,wilcoxon_stat,wilcoxon_p_val,wilcoxon_p_val_Bon,wilcoxon_p_val_Benjamin,wilcoxon_p_val_Holm,ks_2samp_stat,ks_2samp_p_val,ks_2samp_p_val_Bon,ks_2samp_p_val_Benjamin,ks_2samp_p_val_Holm
australian,NAG,2.745748813,0.008026088,0.080260879,0.010246616,0.032104352,101,0.006824089,0.068240892,0.009748699,0.027296357,0.433333333,0.006548396,0.065483964,0.009354852,0.045838775
australian,MGD,2.705069829,0.0089502,0.089502002,0.010246616,0.032104352,112,0.013182053,0.131820535,0.014646726,0.02779634,0.4,0.01564339,0.156433905,0.019554238,0.046930171
australian,Adam,2.439634837,0.017780887,0.177808872,0.017780887,0.032104352,123.5,0.024953175,0.249531752,0.024953175,0.02779634,0.3,0.135003503,1,0.135003503,0.141775976
australian,Adagrad,3.191423855,0.002286491,0.022864908,0.003810818,0.01281928,83,0.002102966,0.021029655,0.004205931,0.012617793,0.433333333,0.006548396,0.065483964,0.009354852,0.045838775
australian,DT,10.88329383,1.23E-15,1.23E-14,6.14E-15,1.10E-14,1,2.83E-06,2.83E-05,1.42E-05,2.55E-05,0.9,5.79E-13,5.79E-12,2.89E-12,5.21E-12
australian,SVM,4.427923188,4.27E-05,0.000426729,0.000142243,0.000341384,36,0.000141777,0.001417767,0.000472589,0.001134213,0.5,0.000899578,0.008995777,0.002998592,0.007196621
australian,GP,4.123030956,0.000120622,0.001206224,0.000301556,0.000844357,67,0.000660427,0.006604273,0.001651068,0.004622991,0.433333333,0.006548396,0.065483964,0.009354852,0.045838775
australian,SGD,3.214456986,0.002136547,0.021365466,0.003810818,0.01281928,87.5,0.002856212,0.028562124,0.004760354,0.014281062,0.433333333,0.006548396,0.065483964,0.009354852,0.045838775
australian,RMSprop,2.693840108,0.009221954,0.092219541,0.010246616,0.032104352,106,0.009265447,0.092654468,0.011581808,0.02779634,0.333333333,0.070887988,0.708879879,0.078764431,0.141775976
australian,NBC,12.03407633,2.10E-17,2.10E-16,2.10E-16,2.10E-16,1,1.91E-06,1.91E-05,1.42E-05,1.91E-05,0.933333333,2.99E-14,2.99E-13,2.99E-13,2.99E-13
heart,NAG,6.461913984,2.33E-08,2.33E-07,4.67E-08,1.40E-07,27,2.36E-05,0.000236339,3.70E-05,0.000141804,0.633333333,5.80E-06,5.80E-05,8.28E-06,4.64E-05
heart,MGD,6.322849966,3.98E-08,3.98E-07,5.68E-08,1.59E-07,28,2.59E-05,0.000258651,3.70E-05,0.000141804,0.633333333,5.80E-06,5.80E-05,8.28E-06,4.64E-05
heart,Adam,6.386590855,3.12E-08,3.12E-07,5.19E-08,1.56E-07,27,2.37E-05,0.000236692,3.70E-05,0.000141804,0.633333333,5.80E-06,5.80E-05,8.28E-06,4.64E-05
heart,Adagrad,7.200068677,1.35E-09,1.35E-08,6.76E-09,1.22E-08,22,1.49E-05,0.000149046,3.70E-05,0.000118495,0.666666667,1.28E-06,1.28E-05,6.38E-06,1.15E-05
heart,DT,10.19927425,1.49E-14,1.49E-13,1.49E-13,1.49E-13,3,2.32E-06,2.32E-05,2.32E-05,2.32E-05,0.866666667,8.25E-12,8.25E-11,8.25E-11,8.25E-11
heart,SVM,5.500627048,8.92E-07,8.92E-06,8.92E-07,1.62E-06,21,5.36E-05,0.000536199,5.96E-05,0.000141804,0.533333333,0.000293341,0.002933405,0.000293341,0.000293341
heart,GP,7.034486579,2.57E-09,2.57E-08,8.55E-09,2.05E-08,12,8.75E-06,8.75E-05,3.70E-05,7.88E-05,0.633333333,5.80E-06,5.80E-05,8.28E-06,4.64E-05
heart,SGD,6.870958414,4.83E-09,4.83E-08,1.21E-08,3.38E-08,22,1.48E-05,0.000148118,3.70E-05,0.000118495,0.633333333,5.80E-06,5.80E-05,8.28E-06,4.64E-05
heart,RMSprop,6.070205876,1.04E-07,1.04E-06,1.30E-07,3.13E-07,32,3.72E-05,0.000371545,4.64E-05,0.000141804,0.6,2.37E-05,0.000236649,2.96E-05,7.10E-05
heart,NBC,5.526461089,8.11E-07,8.11E-06,8.92E-07,1.62E-06,30,8.02E-05,0.000801563,8.02E-05,0.000141804,0.566666667,8.74E-05,0.00087378,9.71E-05,0.000174756
ionosphere,NAG,5.048866888,4.71E-06,4.71E-05,5.88E-06,1.41E-05,55,0.000260754,0.002607542,0.000325943,0.000782262,0.633333333,5.80E-06,5.80E-05,7.24E-06,1.74E-05
ionosphere,MGD,4.169701542,0.000103103,0.001031032,0.000103103,0.000103103,70,0.000827537,0.00827537,0.000827537,0.000858571,0.533333333,0.000293341,0.002933405,0.000293341,0.000293341
ionosphere,Adam,6.728652994,8.36E-09,8.36E-08,1.19E-08,3.34E-08,19,1.13E-05,0.000112534,2.25E-05,7.86E-05,0.666666667,1.28E-06,1.28E-05,1.82E-06,5.10E-06
ionosphere,Adagrad,21.11618037,6.54E-29,6.54E-28,6.54E-28,6.54E-28,0,1.73E-06,1.73E-05,1.73E-05,1.73E-05,1,1.69E-17,1.69E-16,1.69E-16,1.69E-16
ionosphere,DT,7.25499827,1.09E-09,1.09E-08,1.82E-09,5.46E-09,23,1.61E-05,0.000160594,2.29E-05,7.86E-05,0.7,2.50E-07,2.50E-06,4.17E-07,1.50E-06
