Experiment,mean_r2_all,std_r2_all,mean_prm_all,std_prm_all,mean_r2_cls,std_r2_cls,mean_prm_cls,std_prm_cls,mean_r2_reg,std_r2_reg,mean_prm_reg,std_prm_reg
DT-DT,0.6954850746476189,0.2715530847616159,182.94761904761904,244.2350527111902,0.8131925455592585,0.10687874074654585,48.407407407407405,39.697049096981054,0.4836116270066663,0.3412402394085207,425.12,270.28888150104734
GP-GP,0.8062780323857147,0.13981503418050328,,,0.8679598301370369,0.10178486860533893,,,0.6952507964333334,0.13024293898853123,,
M-R-ES-No-Rg-No-lr-A,0.7318181470666664,0.1613721366658689,1568.8333333333333,776.5052234962695,0.7642168411952371,0.15419387651142474,1945.857142857143,751.5874928433124,0.686459975286667,0.16075615165234577,1041.0,423.78923468658513
M-R-ES-No-Rg-No-lr-D,0.7467142869166659,0.2383759850718476,1568.8333333333333,776.5052234962695,0.8202868901857137,0.10557568462102279,1945.857142857143,751.5874928433124,0.6437126423400001,0.32088196236576333,1041.0,423.78923468658513
M-R-ES-No-Rg-No-lr-M,0.7693377417777773,0.19040572119256988,1568.8333333333333,776.5052234962695,0.8161785836999996,0.11049017753910124,1945.857142857143,751.5874928433124,0.7037605630866667,0.25061013474059857,1041.0,423.78923468658513
M-R-ES-No-Rg-No-lr-N,0.767439505455555,0.19474484171229736,1568.8333333333333,776.5052234962695,0.8172173477952375,0.10811490972054412,1945.857142857143,751.5874928433124,0.6977505261799997,0.2580707890067097,1041.0,423.78923468658513
M-R-ES-No-Rg-No-lr-R,0.7617784783888882,0.2001125086121694,1568.8333333333333,776.5052234962695,0.8240598545619038,0.102041432181538,1945.857142857143,751.5874928433124,0.6745845517466668,0.2622176606435851,1041.0,423.78923468658513
M-R-ES-No-Rg-No-lr-G,0.7989054620083322,0.13859964495671254,1568.8333333333333,776.5052234962695,0.8256480367666661,0.10592493468261419,1945.857142857143,751.5874928433124,0.7614658573466667,0.16771055704728158,1041.0,423.78923468658513
M-R-ES-No-Rg-No-A,0.8011135393190477,0.19083221951702814,1637.9285714285713,876.8688162434006,0.8584003651925923,0.11072281764162115,1969.5555555555557,888.3099668887287,0.6979972527466665,0.25223635047589504,1041.0,423.78923468658513
M-R-ES-No-Rg-No-D,-0.07239652901666678,2.6013708599941534,1637.9285714285713,876.8688162434006,0.6305051593444446,0.2321260762146164,1969.5555555555557,888.3099668887287,-1.3376195680666672,4.052851931675427,1041.0,423.78923468658513
M-R-ES-No-Rg-No-M,0.5431339916714278,0.23220448346909295,1637.9285714285713,876.8688162434006,0.48056441854814874,0.16288498567786805,1969.5555555555557,888.3099668887287,0.6557592232933337,0.28958830492471016,1041.0,423.78923468658513
M-R-ES-No-Rg-No-N,0.5273806577071426,0.23861995038782785,1637.9285714285713,876.8688162434006,0.45900250117407454,0.162300958070777,1969.5555555555557,888.3099668887287,0.6504613394666665,0.2980588102928763,1041.0,423.78923468658513
M-R-ES-No-Rg-No-R,-0.4937293207690459,2.9401122227900953,1637.9285714285713,876.8688162434006,0.7599495790888886,0.2345913842418225,1969.5555555555557,888.3099668887287,-2.750351340513333,4.029195157961451,1041.0,423.78923468658513
M-R-ES-No-Rg-No-G,0.7977464950166665,0.18371543428393908,1637.9285714285713,876.8688162434006,0.8495506891814809,0.11247952058888666,1969.5555555555557,888.3099668887287,0.70449894552,0.24177295882572764,1041.0,423.78923468658513
M-S-ES-50-Rg-No-A,0.8138540826928579,0.1390050859760747,1637.9285714285713,876.8688162434005,0.857380270599999,0.12042562683957828,1969.5555555555557,888.3099668887282,0.7355069444600001,0.136167590327509,1041.0,423.789234686585
M-S-ES-50-Rg-No-D,-1.0135942359095234,3.2842007221968523,1637.9285714285713,876.8688162434005,0.8208885117925919,0.15110319107765763,1969.5555555555557,888.3099668887282,-4.315663181773332,3.6352065166982834,1041.0,423.789234686585
M-S-ES-50-Rg-No-M,0.8219398341119051,0.17481311790419712,1637.9285714285713,876.8688162434005,0.8571695427740736,0.1280822151111983,1969.5555555555557,888.3099668887282,0.75852635852,0.22365523295454276,1041.0,423.789234686585
M-S-ES-50-Rg-No-N,0.832494386009525,0.1449674901981856,1637.9285714285713,876.8688162434005,0.8645541827444445,0.1237352831285334,1969.5555555555557,888.3099668887282,0.774786751886667,0.1619922570473765,1041.0,423.789234686585
M-S-ES-50-Rg-No-R,-0.20767444173333313,2.892430199242119,1637.9285714285713,876.8688162434005,0.8500822930703696,0.14751421210696258,1969.5555555555557,888.3099668887282,-2.11163656438,4.220208845466921,1041.0,423.789234686585
